"State","Pincode","District","Hospitalized","Deaths","Recovered","S_Hospitalized","S_Deaths","S_Recovered","C_Hospitalized","C_Deaths","C_Recovered"
"AP",522411,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",518508,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",522113,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522626,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522315,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522212,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522501,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522233,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522017,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",520007,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521183,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521175,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521190,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521106,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521356,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521108,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521340,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",520003,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",531127,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531021,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",521333,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521311,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521286,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",520008,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521228,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",522412,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522663,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522529,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",521105,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521390,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521121,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521182,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521163,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521326,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521369,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517641,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517299,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517123,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517419,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",522309,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522237,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",533125,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533309,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533216,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533264,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533307,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",522435,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522324,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522258,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522311,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522268,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522306,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522102,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522015,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522401,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522660,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",533002,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",522006,"Guntur",9,0,0,66,0,1,1179,14,40
